,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
444,SVM,0.3333333333333333,0.71,1.0,0.2448582356294261,1000,,0.0005,rbf,,,,,
443,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.0005,linear,,,,,
442,SVM,0.3333333333333333,0.71,1.0,0.2448582356294261,1000,,0.001,rbf,,,,,
441,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.001,linear,,,,,
440,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,1000,,0.005,rbf,,,,,
439,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.005,linear,,,,,
438,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,1000,,0.01,rbf,,,,,
437,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.01,linear,,,,,
436,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,1000,,0.05,rbf,,,,,
435,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.05,linear,,,,,
433,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.1,linear,,,,,
431,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.5,linear,,,,,
429,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,1,linear,,,,,
428,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,500,,0.0001,rbf,,,,,
427,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.0001,linear,,,,,
426,SVM,0.3333333333333333,0.71,1.0,0.2448582356294261,500,,0.0005,rbf,,,,,
425,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.0005,linear,,,,,
424,SVM,0.3333333333333333,0.71,1.0,0.2448582356294261,500,,0.001,rbf,,,,,
393,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,1,linear,,,,,
391,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.0001,linear,,,,,
333,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1,,0.001,linear,,,,,
349,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.005,linear,,,,,
361,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.1,linear,,,,,
359,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.5,linear,,,,,
357,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,1,linear,,,,,
355,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.0001,linear,,,,,
354,SVM,0.4,0.64,1.0,0.20428737928059415,5,,0.0005,rbf,,,,,
353,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.0005,linear,,,,,
352,SVM,0.4,0.64,1.0,0.1709775813764288,5,,0.001,rbf,,,,,
351,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.001,linear,,,,,
350,SVM,0.3333333333333333,0.5816666666666667,1.0,0.18950960104672504,5,,0.005,rbf,,,,,
348,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,5,,0.01,rbf,,,,,
390,SVM,0.3333333333333333,0.6649999999999999,1.0,0.2501610592309594,50,,0.0005,rbf,,,,,
