,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,criterion,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
1109,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,,50,40,
1108,RF,0.3333333333333333,0.5066666666666667,0.6666666666666666,0.10624918300339482,,True,gini,,,,,50,35,
1107,RF,0.3333333333333333,0.47333333333333333,0.6666666666666666,0.10306416555826871,,True,gini,,,,,50,30,
1098,RF,0.3333333333333333,0.5266666666666667,0.6666666666666666,0.1030641655582687,,True,gini,,,,,40,40,
1097,RF,0.3333333333333333,0.5066666666666666,0.6666666666666666,0.10624918300339484,,True,gini,,,,,40,35,
1096,RF,0.3333333333333333,0.5266666666666667,0.6666666666666666,0.1030641655582687,,True,gini,,,,,40,30,
1090,RF,0.25,0.5016666666666667,0.6666666666666666,0.13259168735465868,,True,gini,,,,,40,5,
1086,RF,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,,True,gini,,,,,35,35,
1085,RF,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,,True,gini,,,,,35,30,
1077,RF,0.25,0.5016666666666667,0.6666666666666666,0.13259168735465868,,True,gini,,,,,35,2,
1076,RF,0.3333333333333333,0.5133333333333333,0.6666666666666666,0.10561986345169906,,True,gini,,,,,30,40,
1075,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,,30,35,
1074,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,gini,,,,,30,30,
1065,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,gini,,,,,25,40,
1064,RF,0.3333333333333333,0.5066666666666666,0.6666666666666666,0.10624918300339484,,True,gini,,,,,25,35,
1130,RF,0.3333333333333333,0.4533333333333333,0.6666666666666666,0.09568466729604881,,True,gini,,,,,70,35,
1140,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,,80,30,
1195,RF,0.3333333333333333,0.49333333333333335,0.6666666666666666,0.10624918300339484,,True,entropy,,,,15,30,30,
1141,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,gini,,,,,80,35,
1187,RF,0.25,0.5016666666666667,0.6666666666666666,0.13259168735465868,,True,entropy,,,,15,30,2,
1186,RF,0.3333333333333333,0.5133333333333333,0.6666666666666666,0.10561986345169906,,True,entropy,,,,15,25,40,
1185,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,entropy,,,,15,25,35,
1184,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,entropy,,,,15,25,30,
1179,RF,0.25,0.5016666666666667,0.6666666666666666,0.13259168735465868,,True,entropy,,,,15,25,7,
1178,RF,0.0,0.4683333333333334,0.6666666666666666,0.1969842069247628,,True,entropy,,,,15,25,5,
